Country,Year,Type,Points,Place,Draw,Performer,Song
Italy,1976,,69,7 (18),13,Romina and Al Bano,We'll Live It All Again
Italy,1977,,33,13 (18),15,Mia Martini,Liberà
Italy,1978,,53,12 (20),3,Ricchi e Poveri,Questo Amore
Italy,1979,,27,15 (19),2,Matia Bazar,Raggio Di Luna
Italy,1980,,87,6 (19),6,Alan Sorrenti,Non So Che Darei
Italy,1983,,41,11 (20),5,Riccardo Fogli,Per Lucia
Italy,1984,,70,5 (19),18,Alice and Battiato,I Treni Di Tozeur
Italy,1985,,78,7 (19),12,Al Bano and Romina Power,"Magic, Oh Magic"
Italy,1987,,103,3 (22),7,Umberto Tozzi and Raf,Gente Di Mare
Italy,1988,,52,12 (21),18,Luca Barbarossa,Ti Scrivo
Italy,1989,,56,9 (22),1,Anna Oxa and Fausto Leali,Avrei Voluto
Italy,1990,,149,1 (22),19,Toto Cutugno,Insieme: 1992
Italy,1991,,89,7 (22),22,Peppino di Capri,Comme E' Ddoce 'o Mare
Italy,1992,,111,4 (23),19,Mia Martini,Rapsodia
Italy,1993,,45,12 (25),1,Enrico Ruggeri,Sole D'europa
Italy,1997,,114,4 (25),9,Jalisse,Fiumi Di Parole
Italy,2011,F,189,2 (25),12,Raphael Gualazzi,Madness Of Love
Italy,2012,F,101,9 (26),10,Nina Zilli,L'Amore È Femmina (Out Of Love)
Italy,2013,F,126,7 (26),23,Marco Mengoni,L'Essenziale
Italy,2014,F,33,21 (26),16,Emma,La Mia Città
Italy,2015,F,292,3 (27),27,Il Volo,Grande Amore
Italy,2016,F,124,16 (26),6,Francesca Michielin,No Degree Of Separation
Italy,2017,F,334,6 (26),9,Francesco Gabbani,Occidentali's Karma
Italy,2018,F,308,5 (26),26,Ermal Meta e Fabrizio Moro,Non Mi Avete Fatto Niente
Italy,2019,F,472,2 (26),22,Mahmood,Soldi
Italy,2021,F,524,1 (26),24,Måneskin,Zitti E Buoni
Italy,2022,F,268,6 (25),9,Mahmood & Blanco,Brividi
Latvia,2000,,136,3 (24),21,BrainStorm,My Star
Latvia,2001,,16,18 (23),9,Arnis Mednis,Too Much
Latvia,2002,,176,1 (24),23,Marie N,I Wanna
Latvia,2003,,5,24 (26),21,F.L.Y.,Hello From Mars
Latvia,2005,F,153,5 (24),23,Walter & Kazha,The War Is Not Over
Latvia,2006,F,30,16 (24),4,Cosmos,I Hear Your Heart
Latvia,2007,F,54,16 (24),14,Bonaparti.lv,Questa Notte
Latvia,2008,F,83,12 (25),14,Pirates Of The Sea,Wolves Of The Sea
Latvia,2015,F,186,6 (27),19,Aminata,Love Injected
Latvia,2016,F,132,15 (26),20,Justs,Heartbeat
Lithuania,1994,,0,25 (25),16,Ovidijus Vysniauskas,Lopsine Mylimai
Lithuania,1999,,13,20 (23),1,Aiste Smilgeviciute,Strazdas
Lithuania,2001,,35,13 (23),8,Skamp,You Got Style
Lithuania,2002,,12,23 (24),24,Aivaras,Happy You
Lithuania,2006,F,162,6 (24),14,LT United,We Are The Winners
Lithuania,2007,F,28,21 (24),9,4Fun,Love Or Leave
Lithuania,2009,F,23,23 (25),1,Sasha Son,Love
Lithuania,2011,F,63,19 (25),4,Evelina Sašenko,C'est Ma Vie
Lithuania,2012,F,70,14 (26),4,Donny Montell,Love Is Blind
Lithuania,2013,F,17,22 (26),2,Andrius Pojavis,Something
Lithuania,2015,F,30,18 (27),7,Monika Linkyt? and Vaidas Baumila,This Time
Lithuania,2016,F,200,9 (26),16,Donny Montell,I've Been Waiting For This Night
Lithuania,2018,F,181,12 (26),4,Ieva Zasimauskait?,When We're Old
Lithuania,2021,F,220,8 (26),18,The Roop,Discoteque
Lithuania,2022,F,128,14 (25),14,Monika Liu,Sentimentai
Luxembourg,1957,,8,4 (10),2,Danièle Dupré,Tant De Peine
Luxembourg,1958,,1,9 (10),4,Solange Berry,Un Grand Amour
Luxembourg,1960,,1,13 (13),3,Camillo Felgen,So Laang We's Du Do Bast
Luxembourg,1961,,31,1 (16),14,Jean-Claude Pascal,Nous Les Amoureux
Luxembourg,1962,,11,3 (16),14,Camillo Felgen,Petit Bonhomme
Luxembourg,1963,,13,8 (16),16,Nana Mouskouri,A Force De Prier
Luxembourg,1964,,14,4 (16),1,Hugues Aufray,Dès Que Le Printemps Revient
Luxembourg,1965,,32,1 (18),15,France Gall,"Poupée De Cire, Poupée De Son"
Luxembourg,1966,,7,10 (18),4,Michèle Torr,Ce Soir Je T'attendais
Luxembourg,1967,,17,4 (17),2,Vicky,L'amour Est Bleu
Luxembourg,1968,,5,11 (17),5,Chris Baldo and Sophie Garel,Nous Vivrons D'amour
Luxembourg,1969,,7,11 (16),2,Romuald,Cathérine
Luxembourg,1970,,0,12 (12),8,David-Alexandre Winter,Je Suis Tombé Du Ciel
Luxembourg,1971,,70,13 (18),8,Monique Melsen,"Pomme, Pomme, Pomme"
Luxembourg,1972,,128,1 (18),17,Vicky Leandros,Après Toi
Luxembourg,1973,,129,1 (17),11,Anne-Marie David,Tu Te Reconnaîtras
Luxembourg,1974,,14,4 (17),9,Ireen Sheer,"Bye, Bye, I Love You"
Luxembourg,1975,,84,5 (19),5,Géraldine,Toi
Luxembourg,1976,,17,14 (18),5,Jürgen Marcus,Chansons Pour Ceux Qui S'aiment
Luxembourg,1977,,17,16 (18),7,Anne Marie B.,Frère Jacques
Luxembourg,1978,,73,7 (20),17,Baccara,Parlez-vous Français?
Luxembourg,1979,,44,13 (19),13,Jeane Manson,J'ai Déjà Vu ça Dans Tes Yeux
Luxembourg,1980,,56,9 (19),4,Sophie and Magaly,Papa Pingouin
Luxembourg,1981,,41,11 (20),4,Jean-Claude Pascal,C'est Peut-être Pas L'amérique
Luxembourg,1982,,78,6 (18),2,Svetlana,Cours Après Le Temps
Luxembourg,1983,,142,1 (20),20,Corinne Hermès,Si La Vie Est Cadeau
Luxembourg,1984,,39,10 (19),2,Sophie Carle,100% D'amour
Luxembourg,1985,,37,13 (19),18,"Margo, Franck Olivier, Diane Solomon, Ireen Sheer, Malcolm Roberts,Chris Roberts","Children, Kinder, Enfants"
Luxembourg,1986,,117,3 (20),1,Sherisse Laurence,L'amour De Ma Vie
Luxembourg,1987,,4,21 (22),13,Plastic Bertrand,Amour Amour
Luxembourg,1988,,90,4 (21),17,Lara Fabian,Croire
Luxembourg,1989,,8,20 (22),11,Park Café,Monsieur
Luxembourg,1990,,38,13 (22),6,Céline Carzo,Quand Je Te Rêve
Luxembourg,1991,,29,14 (22),7,Sarah Bray,Un Baiser Volé
Luxembourg,1992,,10,21 (23),14,Marion Welter and Kontinent,Sou Fräi
Luxembourg,1993,,11,20 (25),15,Modern Times,Donne-moi Une Chance
FYR Macedonia,1998,,16,19 (25),25,Vlado Janevski,"Ne Zori, Zoro"
FYR Macedonia,2000,,29,15 (24),19,XXL,100% Te Ljubam
FYR Macedonia,2002,,25,19 (24),9,Karolina,Od Nas Zavisi
FYR Macedonia,2004,F,47,14 (24),15,Tose Proeski,Life
FYR Macedonia,2005,F,52,17 (24),15,Martin Vucic,Make My Day
FYR Macedonia,2006,F,56,12 (24),11,Elena Risteska,Ninanajna
FYR Macedonia,2007,F,73,14 (24),6,Karolina,Mojot Svet
FYR Macedonia,2012,F,71,13 (26),22,Kaliopi,Crno I Belo
FYR Macedonia,2019,F,305,7 (26),8,Tamara Todevska,Proud
Malta,1971,,52,18 (18),2,Joe Grech,Marija L-maltija
Malta,1972,,48,18 (18),9,Helen and Joseph,L-imhabba
Malta,1975,,32,12 (19),10,Renato,Singing This Song
Malta,1991,,106,6 (22),3,Paul Giordimaina and Georgina,Could It Be
Malta,1992,,123,3 (23),10,Mary Spiteri,Little Child
Malta,1993,,69,8 (25),8,William Mangion,This Time
Malta,1994,,97,5 (25),12,Moira Stafrace and Christopher Scicluna,More Than Love
Malta,1995,,76,10 (23),22,Mike Spiteri,Keep Me In Mind
Malta,1996,,68,10 (23),6,Miriam Christine,In A Woman's Heart
Malta,1997,,66,9 (25),18,Debbie Scerri,Let Me Fly
Malta,1998,,165,3 (25),10,Chiara,The One That I Love
Malta,1999,,32,15 (23),20,Times 3,Believe 'n Peace
Malta,2000,,73,8 (24),7,Claudette Pace,Desire
Malta,2001,,48,9 (23),21,Fabrizio Faniello,Another Summer Night
Malta,2002,,164,2 (24),20,Ira Losco,7th Wonder
Malta,2003,,4,25 (26),5,Lynn Chirchop,To Dream Again
Malta,2004,F,50,12 (24),6,Julie & Ludwig,On Again... Off Again
Malta,2005,F,192,2 (24),3,Chiara,Angel
Malta,2006,F,1,24 (24),7,Fabrizio Faniello,I Do
Malta,2009,F,31,22 (25),14,Chiara,What If We
Malta,2012,F,41,21 (26),21,Kurt Calleja,This Is The Night
Malta,2013,F,120,8 (26),9,Gianluca,Tomorrow
Malta,2014,F,32,23 (26),22,Firelight,Coming Home
Malta,2016,F,153,12 (26),22,Ira Losco,Walk On Walter
Malta,2019,F,107,14 (26),1,Michela,Chameleon
Malta,2021,F,255,7 (26),6,Destiny,Je Me Casse
Moldova,2005,F,148,6 (24),7,Zdob si Zdub,Boonika Bate Toba
Moldova,2006,F,22,20 (24),2,Arsenium & Natalia Gordienko,Loca
Moldova,2007,F,109,10 (24),24,Natalia Barbu,Fight
Moldova,2009,F,69,14 (25),13,Nelly Ciobanu,Hora Din Moldova
Moldova,2010,F,27,22 (25),4,Sunstroke Project & Olia Tira,Run Away
Moldova,2011,F,97,12 (25),15,Zdob ?i Zdub,So Lucky
Moldova,2012,F,81,11 (26),26,Pasha Parfeny,L?utar
Moldova,2013,F,71,11 (26),3,Aliona Moon,O Mie
Moldova,2017,F,374,3 (26),7,Sunstroke Project,Hey Mamma
Moldova,2018,F,209,10 (26),19,DoReDos,My Lucky Day
Moldova,2021,F,115,13 (26),14,Natalia Gordienko,SUGAR
Moldova,2022,F,253,7 (25),19,Zdob ?i Zdub & Fra?ii Advahov,Trenule?ul
Monaco,1959,,1,11 (11),4,Jacques Pills,Mon Ami Pierrot
Monaco,1960,,15,3 (13),8,François Deguelt,Ce Soir-là
Monaco,1961,,6,10 (16),2,Colette Deréal,"Allons, Allons Les Enfants"
Monaco,1962,,13,2 (16),16,François Deguelt,Dis Rien
Monaco,1963,,25,5 (16),15,Françoise Hardy,L'amour S'en Va
Monaco,1964,,15,3 (16),10,Romuald,Où Sont-elles Passées?
Monaco,1965,,7,9 (18),9,Marjorie Noël,Va Dire à L'amour
Monaco,1966,,0,17 (18),13,Tereza,Bien Plus Fort
Monaco,1967,,10,5 (17),14,Minouche Barelli,Boum-badaboum
Monaco,1968,,8,7 (17),7,Line and Willy,A Chacun Sa Chanson
Monaco,1969,,11,6 (16),4,Jean-Jacques,"Maman, Maman"
Monaco,1970,,5,8 (12),10,Dominique Dussault,Marlène
Monaco,1971,,128,1 (18),3,Séverine,"Un Banc, Un Arbre, Une Rue"
Monaco,1972,,65,16 (18),15,Anne-Marie Godart and Peter MacLane,Comme On S'aime
Monaco,1973,,85,8 (17),6,Marie,Un Train Qui Part
Monaco,1974,,14,4 (17),10,Romuald,Celui Qui Reste Et Celui Qui S'en Va
Monaco,1975,,22,13 (19),14,Sophie,Une Chanson C'est Une Lettre
Monaco,1976,,93,3 (18),16,Mary Christy,"Toi, La Musique Et Moi"
Monaco,1977,,96,4 (18),2,Michèle Torr,Une Petite Française
Monaco,1978,,107,4 (20),14,Caline and Olivier Toussaint,Les Jardins De Monaco
Monaco,1979,,12,16 (19),6,Laurent Vaguener,"Notre Vie, C'est La Musique"
Montenegro,2014,F,37,19 (26),8,Sergej ?etkovi?,Moj Svijet
Montenegro,2015,F,44,13 (27),16,Knez,Adio
Morocco,1980,,7,18 (19),5,Samira Bensaïd,Bitakat Hob
Netherlands,1957,,31,1 (10),6,Corry Brokken,Net Als Toen
Netherlands,1958,,1,9 (10),2,Corry Brokken,Heel De Wereld
Netherlands,1959,,21,1 (11),5,Teddy Scholten,Een Beetje
Netherlands,1960,,2,12 (13),10,Rudi Carrell,Wat Een Geluk
Netherlands,1961,,6,10 (16),6,Greetje Kauffeld,Wat Een Dag
Netherlands,1962,,0,13 (16),8,De Spelbrekers,Katinka
Netherlands,1963,,0,13 (16),2,Annie Palmen,Een Speeldoos
Netherlands,1964,,2,10 (16),2,Anneke Grönloh,Jij Bent Mijn Leven
Netherlands,1965,,5,11 (18),1,Conny Van den bos,Het Is Genoeg
Netherlands,1966,,2,15 (18),16,Milly Scott,Fernando En Philippo
Netherlands,1967,,2,14 (17),1,Thérèse Steinmetz,Ring-dinge
Netherlands,1968,,1,16 (17),2,Ronnie Tober,Morgen
Netherlands,1969,,18,1 (16),8,Lenny Kuhr,De Troubadour
Netherlands,1970,,7,7 (12),1,Patricia and Hearts of Soul,Waterman
Netherlands,1971,,85,6 (18),14,Saskia and Serge,De Tijd
Netherlands,1972,,106,4 (18),18,Sandra and Andres,Als Het Om De Liefde Gaat
Netherlands,1973,,69,14 (17),13,Ben Cramer,De Oude Muzikant
Netherlands,1974,,15,3 (17),12,Mouth and MacNeal,I See A Star
Netherlands,1975,,152,1 (19),1,Teach-In,Ding-A-Dong
Netherlands,1976,,56,9 (18),8,Sandra Reemer,The Party's Over Now
Netherlands,1977,,35,12 (18),3,Heddy Lester,De Mallemolen
Netherlands,1978,,37,13 (20),11,Harmony,'t Is Ok
Netherlands,1979,,51,12 (19),14,Xandra,Colorado
Netherlands,1980,,93,5 (19),15,Maggie MacNeal,Amsterdam
Netherlands,1981,,51,9 (20),11,Linda Williams,Het Is Een Wonder
Netherlands,1982,,8,16 (18),16,Bill van Dijk,Jij En Ik
Netherlands,1983,,66,7 (20),11,Bernadette,Sing Me A Song
Netherlands,1984,,34,13 (19),11,Maribelle,Ik Hou Van Jou
Netherlands,1986,,40,13 (20),7,Frizzle Sizzle,Alles Heeft Ritme
Netherlands,1987,,83,5 (22),12,Marcha,Rechtop In De Wind
Netherlands,1988,,70,9 (21),7,Gerard Joling,Shangri-la
Netherlands,1989,,45,15 (22),4,Justine Pelmelay,Blijf Zoals Je Bent
Netherlands,1990,,25,15 (22),5,Maywood,Ik Wil Alles Met Je Delen
Netherlands,1992,,67,9 (23),23,Humphrey Campbell,Wijs Me De Weg
Netherlands,1993,,92,6 (25),20,Ruth Jacott,Vrede
Netherlands,1994,,4,23 (25),13,Willeke Alberti,Waar Is De Zon
Netherlands,1996,,78,7 (23),15,Maxine and Franklin Brown,De Eerste Keer
Netherlands,1997,,5,22 (25),8,Mrs. Einstein,Niemand Heeft Nog Tijd
Netherlands,1998,,150,4 (25),18,Edsilia Rombley,Hemel En Aarde
Netherlands,1999,,71,8 (23),11,Marlayne,One Good Reason
Netherlands,2000,,40,13 (24),2,Linda Wagenmakers,No Goodbyes
Netherlands,2001,,16,18 (23),1,Michelle,Out On My Own
Netherlands,2003,,45,13 (26),14,Esther Hart,One More Night
Netherlands,2004,F,11,20 (24),7,Re-union,Without You
Netherlands,2013,F,114,9 (26),13,Anouk,Birds
Netherlands,2014,F,238,2 (26),24,The Common Linnets,Calm After The Storm
Netherlands,2016,F,153,11 (26),3,Douwe Bob,Slow Down
Netherlands,2017,F,150,11 (26),6,OG3NE,Lights and Shadows
Netherlands,2018,F,121,18 (26),23,Waylon,Outlaw In 'Em
Netherlands,2019,F,498,1 (26),12,Duncan Laurence,Arcade
Netherlands,2021,F,11,23 (26),23,Jeangu Macrooy,Birth Of A New Age
Netherlands,2022,F,171,11 (25),11,S10,De Diepte
Norway,1960,,11,4 (13),6,Nora Brockstedt,Voi-voi
Norway,1961,,10,7 (16),12,Nora Brockstedt,Sommer I Palma
Norway,1962,,2,10 (16),10,Inger Jacobsen,"Kom Sol, Kom Regn"
Norway,1963,,0,13 (16),5,Anita Thallaug,Solhverv
Norway,1964,,6,8 (16),3,Arne Bendiksen,Spiral
Norway,1965,,1,13 (18),7,Kirsti Sparboe,Karusell
Norway,1966,,15,3 (18),6,Åse Kleveland,Intet Er Nytt Under Solen
Norway,1967,,2,14 (17),13,Kirsti Sparboe,Dukkemann
Norway,1968,,2,13 (17),13,Odd Børre,Stress
Norway,1969,,1,16 (16),12,Kirsti Sparboe,"Oj, Oj, Oj, Så Glad, Jeg Skal Bli"
Norway,1971,,65,17 (18),18,Hanne Krogh,Lykken Er...
Norway,1972,,73,14 (18),6,Grethe Kausland and Benny Borg,Småting
Norway,1973,,89,7 (17),5,Bendik Singers,It's Just A Game
Norway,1974,,3,14 (17),4,Anne-Karine Ström and the Bendik Singers,The First Day Of Love
Norway,1975,,11,18 (19),6,Ellen Nikolaysen,You Touched My Life With Summer
Norway,1976,,7,18 (18),9,Anne-Karine Ström,Mata Hari
Norway,1977,,18,14 (18),5,Anita Skorgan,Casanova
Norway,1978,,0,20 (20),2,Jahn Teigen,Mil Etter Mil
Norway,1979,,57,11 (19),16,Anita Skorgan,Oliver
Norway,1980,,15,16 (19),11,Sverre Kjellsberg and Mattis Hætta,Sámiid Ædnan
Norway,1981,,0,20 (20),13,Finn Kalvik,Aldri I Livet
Norway,1982,,40,12 (18),3,Jahn Teigen and Anita Skorgan,Adieu
Norway,1983,,53,9 (20),2,Jahn Teigen,Do Re Mi
Norway,1984,,29,17 (19),5,Dollie de Luxe,Lenge Leve Livet
Norway,1985,,123,1 (19),13,Bobbysocks,La Det Swinge
Norway,1986,,44,12 (20),4,Ketil Stokkan,Romeo
Norway,1987,,65,9 (22),1,Kate Gulbrandsen,Mitt Liv
Norway,1988,,88,5 (21),15,Karoline Krüger,For Vår Jord
Norway,1989,,30,17 (22),8,Britt Synnøve Johansen,Venners Nærhet
Norway,1990,,8,21 (22),9,Ketil Stokkan,Brandenburger Tor
Norway,1991,,14,17 (22),14,Just 4 Fun,Mrs. Thompson
Norway,1992,,23,18 (23),21,Merethe Trøan,Visjoner
Norway,1993,,120,5 (25),25,Silje Vige,Alle Mine Tankar
Norway,1994,,76,6 (25),17,Elisabeth Andreasson and Jan Werner Danielsen,Duett
Norway,1995,,148,1 (23),5,Secret Garden,Nocturne
Norway,1996,,114,2 (23),12,Elisabeth Andreasson,I Evighet
Norway,1997,,0,24 (25),3,Tor Endresen,San Francisco
Norway,1998,,79,8 (25),22,Lars A. Fredriksen,Alltid Sommer
Norway,1999,,35,14 (23),8,Stig André Van Eijk,Living My Life Without You
Norway,2000,,57,11 (24),8,Charmed,My Heart Goes Boom
Norway,2001,,3,22 (23),4,Haldor Lægreid,On My Own
Norway,2003,,123,4 (26),18,Jostein Hasselgård,I'm Not Afraid To Move On
Norway,2004,F,3,24 (24),3,Knut Anders Sørum,High
Norway,2005,F,125,9 (24),5,Wig Wam,In My Dreams
Norway,2006,F,36,14 (24),5,Christine Guldbrandsen,Alvedansen
Norway,2008,F,182,5 (25),25,Maria,Hold On Be Strong
Norway,2009,F,387,1 (25),20,Alexander Rybak,Fairytale
Norway,2010,F,35,20 (25),3,Didrik Solli-Tangen,My Heart Is Yours
Norway,2012,F,7,26 (26),12,Tooji,Stay
Norway,2013,F,191,4 (26),24,Margaret Berger,I Feed You My Love
Norway,2014,F,88,8 (26),5,Carl Espen,Silent Storm
Norway,2015,F,102,8 (27),9,Mørland & Debrah Scarlett,A Monster Like Me
Norway,2017,F,158,10 (26),17,JOWST,Grab The Moment
Norway,2018,F,144,15 (26),7,Alexander Rybak,That's How You Write A Song
Norway,2019,F,331,6 (26),15,KEiiNO,Spirit in the Sky
Norway,2021,F,75,18 (26),22,TIX,Fallen Angel
Norway,2022,F,182,10 (25),7,Subwoolfer,Give That Wolf A Banana
Poland,1994,,166,2 (25),24,Edyta Górniak,To Nie Ja!
Poland,1995,,15,18 (23),1,Justyna,Sama
Poland,1996,,31,15 (23),20,Kasia Kowalska,Chce Znac Swój Grzech
Poland,1997,,54,11 (25),12,Anna Maria Jopek,Ale Jestem
Poland,1998,,19,17 (25),7,Sixteen,To Takie Proste
Poland,1999,,17,18 (23),12,Mietek (Mieczyslaw) Szczesniak,Przytul Mnie Mocno
Poland,2001,,11,20 (23),18,Piasek,2 Long
Poland,2003,,90,7 (26),20,Ich Troje,Keine Grenzen - Zadnych Granic
Poland,2004,F,27,17 (24),19,Blue Cafe,Love Song
Poland,2008,F,14,24 (25),10,Isis Gee,For Life
Poland,2014,F,62,14 (26),9,Donatan & Cleo,My S?owianie - We Are Slavic
Poland,2015,F,10,23 (27),18,Monika Kuszy?ska,In The Name Of Love
Poland,2016,F,229,8 (26),12,Micha? Szpak,Color Of Your Life
Poland,2017,F,64,22 (26),2,Kasia Mo?,Flashlight
Poland,2022,F,151,12 (25),23,Ochman,River
Portugal,1964,,0,13 (16),11,António Calvário,Oração
Portugal,1965,,1,13 (18),12,Simone de Oliviera,Sol De Inverno
Portugal,1966,,6,13 (18),8,Madalena Iglesias,Ele E Ela
Portugal,1967,,3,12 (17),5,Eduardo Nascimento,O Vento Mudou
Portugal,1968,,5,11 (17),1,Carlos Mendes,Verão
Portugal,1969,,4,15 (16),15,Simone de Oliveira,Desfolhada Portuguesa
Portugal,1971,,83,9 (18),15,Tonicha,Menina Do Alto Da Serra
Portugal,1972,,90,7 (18),7,Carlos Mendes,A Festa Da Vida
Portugal,1973,,80,10 (17),3,Fernando Tordo,Tourada
Portugal,1974,,3,14 (17),16,Paulo de Carvalho,E Depois Do Adeus
Portugal,1975,,16,16 (19),16,Duarte Mendes,Madrugada
Portugal,1976,,24,12 (18),15,Carlos do Carmo,Uma Flor De Verde Pinho
Portugal,1977,,18,14 (18),8,Os Amigos,Portugal No Coração
Portugal,1978,,5,17 (20),5,Gemini,Dai-li-dou
Portugal,1979,,64,9 (19),1,Manuela Bravo,"Sobe, Sobe, Balão Sobe"
Portugal,1980,,71,7 (19),14,José Cid,"Um Grande, Grande Amor"
Portugal,1981,,9,18 (20),15,Carlos Paião,Play-back
Portugal,1982,,32,13 (18),1,Doce,Bem-bom
Portugal,1983,,33,13 (20),17,Armando Gama,Esta Balada Que Te Dou
Portugal,1984,,38,11 (19),19,Maria Guinot,Silêncio E Tanta Gente
Portugal,1985,,9,18 (19),9,Adelaïde,"Penso Em Ti, Eu Sei"
Portugal,1986,,28,14 (20),20,Dora,Não Sejas Mau Para Mim
Portugal,1987,,15,18 (22),8,Nevada,Neste Barco à Vela
Portugal,1988,,5,18 (21),20,Dora,Voltarei
Portugal,1989,,39,16 (22),9,Da Vinci,Conquistador
Portugal,1990,,9,20 (22),16,Nucha,Há Sempre Alguém
Portugal,1991,,62,8 (22),12,Dulce,Lusitana Paixão
Portugal,1992,,26,17 (23),8,Diná,Amor D'água Fresca
Portugal,1993,,60,10 (25),11,Anabela,A Cidade Até Ser Dia
Portugal,1994,,73,8 (25),8,Sara Tavares,Chamar A Música
Portugal,1995,,5,21 (23),16,Tó Cruz,Baunilha E Chocolate
Portugal,1996,,92,6 (23),4,Lúcia Moniz,O Meu Coração Não Tem Cor
Portugal,1997,,0,24 (25),15,Célia Lawson,Antes Do Adeus
Portugal,1998,,36,12 (25),14,Alma Lusa,Se Eu Te Pudesse Abraçar
Portugal,1999,,12,21 (23),16,Rui Bandeira,Como Tudo Começou
Portugal,2001,,18,17 (23),11,MTM,Só Sei Ser Feliz Assim
Portugal,2003,,13,22 (26),7,Rita Guerra,Deixa-me Sonhar
Portugal,2008,F,69,13 (25),13,Vânia Fernandes,Senhora Do Mar (Negras Águas)
Portugal,2009,F,57,15 (25),6,Flor-de-lis,Todas As Ruas Do Amor
Portugal,2010,F,43,18 (25),23,Filipa Azevedo,Há Dias Assim
Portugal,2017,F,758,1 (26),11,Salvador Sobral,Amar Pelos Dois
Portugal,2018,F,39,26 (26),8,Cláudia Pascoal,O Jardim
Portugal,2021,F,153,12 (26),7,The Black Mamba,Love Is On My Side
Portugal,2022,F,207,9 (25),3,MARO,"Saudade, Saudade"
Romania,1994,,14,21 (25),11,Dan Bittman,Dincolo De Nori
Romania,1998,,6,22 (25),15,Malina Olinescu,Eu Cred
Romania,2000,,25,17 (24),6,Taxi,The Moon
Romania,2002,,71,9 (24),21,Monica Anghel & Marcel Pavel,Tell Me Why
Romania,2003,,73,10 (26),24,Nicola,Don't Break My Heart
Romania,2004,F,18,18 (24),23,Sanda Ladosi,I Admit
Romania,2005,F,158,3 (24),4,Luminita Anghel & Sistem,Let Me Try
Romania,2006,F,172,4 (24),12,Mihai Traistariu,Tornero
Romania,2007,F,84,13 (24),20,Todomondo,"Liubi, Liubi, I Love You"
Romania,2008,F,45,20 (25),1,Nico & Vlad,Pe-o Margine De Lume
Romania,2009,F,40,19 (25),22,Elena,The Balkan Girls
Romania,2010,F,162,3 (25),19,Paula Seling & Ovi,Playing With Fire
Romania,2011,F,77,17 (25),17,Hotel FM,Change
Romania,2012,F,71,12 (26),14,Mandinga,Zaleilah
Romania,2013,F,65,13 (26),14,Cezar,It's My Life
Romania,2014,F,72,12 (26),6,Paula Seling & OVI,Miracle
Romania,2015,F,35,15 (27),20,Voltaj,De La Capat / All Over Again
Romania,2017,F,282,7 (26),20,Ilinca ft. Alex Florea,Yodel It!
Romania,2022,F,65,18 (25),2,WRS,Llámame
Russia,1994,,70,9 (25),23,Youddiph,Vechni Stranik
Russia,1995,,17,17 (23),6,Philipp Kirkorov,Kolybelnaya Dlya Vulkana
Russia,1997,,33,15 (25),20,Alla Pugachova,Primadonna
Russia,2000,,155,2 (24),9,Alsou,Solo
Russia,2001,,37,12 (23),6,Mumiy troll,Lady Alpine Blue
Russia,2002,,55,10 (24),7,Prime minister,Northern Girl
Russia,2003,,164,3 (26),11,t.A.T.u.,"Ne Ver', Ne Boisia"
Russia,2004,F,67,11 (24),14,Julia Savicheva,Believe Me
Russia,2005,F,57,15 (24),20,Natalia Podolskaya,Nobody Hurt No One
Russia,2006,F,248,2 (24),10,Dima Bilan,Never Let You Go
Russia,2007,F,207,3 (24),15,Serebro,Song # 1
Russia,2008,F,272,1 (25),24,Dima Bilan,Believe
Russia,2009,F,91,11 (25),10,Anastasia Prikhodko,Mamo
Russia,2010,F,90,11 (25),20,Peter Nalitch & Friends,Lost And Forgotten
Russia,2011,F,77,16 (25),10,Alexej Vorobjov,Get You
Russia,2012,F,259,2 (26),6,Buranovskiye Babushki,Party For Everybody
Russia,2013,F,174,5 (26),10,Dina Garipova,What If
Russia,2014,F,89,7 (26),15,Tolmachevy Sisters,Shine
Russia,2015,F,303,2 (27),25,Polina Gagarina,A Million Voices
Russia,2016,F,491,3 (26),18,Sergey Lazarev,You Are The Only One
Russia,2019,F,370,3 (26),5,Sergey Lazarev,Scream
Russia,2021,F,204,9 (26),5,Manizha,Russian Woman
San Marino,2014,F,14,24 (26),25,Valentina Monetta,Maybe (Forse)
San Marino,2019,F,77,19 (26),7,Serhat,Say Na Na Na
San Marino,2021,F,50,22 (26),26,Senhit,Adrenalina
Serbia,2007,F,268,1 (24),17,Marija Šerifovi?,Molitva
Serbia,2008,F,160,6 (25),23,Jelena Tomaševi? feat. Bora Dugic,Oro
Serbia,2010,F,72,13 (25),8,Milan Stankovi?,Ovo Je Balkan
Serbia,2011,F,85,14 (25),24,Nina,?aroban
Serbia,2012,F,214,3 (26),24,Željko Joksimovi?,Nije Ljubav Stvar
Serbia,2015,F,53,10 (27),8,Bojana Stamenov,Beauty Never Lies
Serbia,2016,F,115,18 (26),15,Sanja Vu?i? ZAA,Goodbye (Shelter)
Serbia,2018,F,113,19 (26),10,Sanja Ili? & Balkanika,Nova Deca
Serbia,2019,F,89,18 (26),23,Nevena Božovi?,Kruna
Serbia,2021,F,102,15 (26),8,Hurricane,Loco Loco
Serbia,2022,F,312,5 (25),24,Konstrakta,In Corpore Sano
Serbia Montenegro,2004,F,263,2 (24),5,Željko Joksimovi?,Lane Moje
Serbia Montenegro,2005,F,137,7 (24),12,No Name,Zauvijek Moja
